Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
College Park/University of Maryland Metro and MARC Station TDDP/TDOZ,HIA reports,"2014, September","An HIA to inform the new Transit District Development Plan and Transit District Overlay Zone map amendment for the College Park/University of Maryland Metro and MARC station area, which will guide development in the area and encourage plans that facilitate transit use, reduce air quality impacts, promote mixed uses, and enhance walkability.",Prince George’s County Health Department,,Prince George's County,Maryland,,"Transportation,Planning and zoning","Public transit,Planning,Resilience and sustainability,Parks and green spaces,Legislation","Diet and physical activity,Safe and affordable parks and recreational facilities,Access to services/medical care,Family and social support,Cultural well-being",Local,"Urban,Suburban,Rural",Government agency,"Economically disadvantaged,Chronic health conditions,Racial and ethnic minorities","Qualitative research,Quantitative research",No,Health Impact Project grantee,Completed
Downtown-Westside Baltimore,HIA reports,"2014, January","A rapid HIA to identify potential health equity issues associated with the redevelopment of the Lexington Market area of the Downtown-Westside neighborhood in Baltimore, which revealed that economic issues, walkability, and safety were residents’ top priorities.",Baltimore City Health Department,,Baltimore,Maryland,,"Community development,Planning and zoning","Bridges and roads,Economic development,Mental/behavioral health,Redevelopment,Workforce development","Access to healthy food,Access to services/medical care,Alcohol, tobacco, and drug use,Community safety,Employment,Safe and accessible active transportation routes",Local,Urban,Government agency,"Economically disadvantaged,Mental illness,Racial and ethnic minorities",Primary research,No,Other funding,Completed
Lincoln Park Small Area Plan,HIA reports,"2015, September","An HIA of a small area plan for the Lincoln Park neighborhood in Duluth, Minnesota.",Minnesota Department of Health,,Duluth,Minnesota,,"Planning and zoning,Housing","Planning,Land-use planning,Economic development,Brownfields and Superfund sites,Redevelopment,Active transportation","Safe street infrastructure,Safe, affordable, and healthy housing,Access to healthy food,Access to services/medical care,Income and wealth,Family and social support,Safe and accessible active transportation routes",Local,Urban,Government agency,"Racial and ethnic minorities,Economically disadvantaged,Individuals with disabilities","GIS mapping,Qualitative research,Quantitative research",No,Health Impact Project grantee,Completed
Goodhue County Zoning Districts,HIA reports,"2015, January","An HIA to inform decisions around Goodhue County, Minnesota’s zoning districts.","Goodhue County Health and Human Services, Goodhue County Land Use Management Department",,Goodhue County,Minnesota,,"Natural resources management,Planning and zoning","Land-use planning,Mental/behavioral health,Parks and green spaces","Clean air and water,Diet and physical activity,Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities",County,"Urban,Rural",Government agency,"Children,Older adults","Literature review,Qualitative research,Quantitative research,Focus groups,Primary research",No,Health Impact Project grantee,Completed
Divine Mercy Development ,HIA reports,"2011, November","A desktop HIA on the Divine Mercy Development, a mixed-use development in Faribault, Minnesota, that looked at 26 indicators in 10 health categories: air quality, land use, parks, trees and vegetation, transportation, housing, food, water, noise, and safety.",Minnesota Department of Health,,Faribault,Minnesota,,"Planning and zoning,Housing","Food and nutrition,Land-use planning,Parks and green spaces,Public transit,Resilience and sustainability,Siting,Water","Access to healthy food,Clean air and water,Community safety,Noise,Safe, affordable, and healthy housing,Safe street infrastructure",State,Urban,Government agency,"Chronic health conditions,Economically disadvantaged,Older adults,Children","Literature review,Quantitative research",Yes,Other funding,Completed
Douglas County Comprehensive Plan,HIA reports,"2011, June","An HIA to assess the Douglas County, Minnesota, draft comprehensive plan and make recommendations on four health categories: aging population, social capital, access to places, and safety and transportation.",Minnesota Department of Health,,Douglas County,Minnesota,,"Planning and zoning,Transportation","Active transportation,Economic development,Land-use planning,Parks and green spaces,Public transit","Access to services/medical care,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Safe and affordable public transit,Safe street infrastructure",County,"Urban,Rural",Government agency,Older adults,"Qualitative research,Quantitative research",No,Other funding,Completed
Cloquet Transportation Planning,HIA reports,"2014, December","An HIA to inform revisions to the transportation section of Cloquet, Minnesota’s Comprehensive Plan.","City of Cloquet, Arrowhead Regional Development Commission, Carlton County Public Health",,Cloquet,Minnesota,,"Planning and zoning,Transportation","Land-use planning,Public transit","Safe and accessible active transportation routes,Safe street infrastructure",Local,"Urban,Rural",Government agency,"Chronic health conditions,Older adults","Literature review,Qualitative research",Yes,Health Impact Project grantee,Completed
State Education Integration Task Force Recommendations,HIA reports,"2013, April",An HIA that looked at the effect of the Minnesota legislature’s decision regarding the recommendations from a state education task force on addressing school integration and improving education outcomes for students of color.,Human Impact Partners,,St. Paul,Minnesota,,Education,Legislation,Education,State,Urban,Nonprofit organization,Racial and ethnic minorities,"Literature review,Qualitative research,Quantitative research",Yes,Health Impact Project grantee,Completed
St. Paul Light Rail,HIA reports,"2012, January","An HIA of proposed land-use changes related to a new light rail transit line that will connect Minneapolis and St. Paul, Minnesota.","ISAIAH, Policy Link, Take Action Minnesota",,St. Paul,Minnesota,,"Transportation,Planning and zoning","Land-use planning,Public transit,Siting","Access to healthy food,Clean air and water,Safe and affordable parks and recreational facilities,Safe and affordable public transit",Local,Urban,Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Qualitative research",No,Health Impact Project grantee,Completed
St. Paul Emerald Ash Borer Policy,HIA reports,"2014, December","An HIA addressing the threat by the emerald ash borer, an invasive beetle, in Minnesota.",Minnesota Pollution Control Agency,,St. Paul,Minnesota,,Natural resources management,"Forests,Resilience and sustainability","Clean air and water,Extreme weather events",Local,Urban,Government agency,"Children,Chronic health conditions,Economically disadvantaged,Older adults",Primary research,Yes,Health Impact Project grantee,Completed
St. Louis Park Comprehensive Plan ,HIA reports,"2011, November",A desktop HIA on the St. Louis Park (Minnesota) Comprehensive Plan.,"City of St. Louis Park, Minnesota Department of Health",,St. Louis Park,Minnesota,,Planning and zoning,"Active transportation,Land-use planning,Parks and green spaces","Access to healthy food,Clean air and water,Community safety,Diet and physical activity,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Safe street infrastructure",Local,Urban,Government agency,Children,Quantitative research,Yes,Other funding,Completed
